dataset,method,level,seed,selected_run_path,WorstDrop
cifar100,clpu,very_low,3,runs/cifar100/T10_F3/clpu/seed_3/20260808_091428,0
cifar100,clpu,very_low,4,runs/cifar100/T10_F3/clpu/seed_4/20260808_143515,0
cifar100,clpu,low,0,runs/cifar100/T10_F3/clpu/seed_0/20260712_043245,0
cifar100,clpu,low,1,runs/cifar100/T10_F3/clpu/seed_1/20260712_094831,0
cifar100,clpu,low,2,runs/cifar100/T10_F3/clpu/seed_2/20260808_045751,0
cifar100,clpu,low,3,runs/cifar100/T10_F3/clpu/seed_3/20260808_101840,0
cifar100,clpu,low,4,runs/cifar100/T10_F3/clpu/seed_4/20260808_153941,0
cifar100,clpu,medium,0,runs/cifar100/T10_F3/clpu/seed_0/20260712_053554,0
cifar100,clpu,medium,1,runs/cifar100/T10_F3/clpu/seed_1/20260712_105131,0
cifar100,clpu,medium,2,runs/cifar100/T10_F3/clpu/seed_2/20260808_060159,0
cifar100,clpu,medium,3,runs/cifar100/T10_F3/clpu/seed_3/20260808_112246,0
cifar100,clpu,medium,4,runs/cifar100/T10_F3/clpu/seed_4/20260808_164359,0
cifar100,clpu,high,0,runs/cifar100/T10_F3/clpu/seed_0/20260712_063906,0
cifar100,clpu,high,1,runs/cifar100/T10_F3/clpu/seed_1/20260712_115459,0
cifar100,clpu,high,2,runs/cifar100/T10_F3/clpu/seed_2/20260808_070558,0
cifar100,clpu,high,3,runs/cifar100/T10_F3/clpu/seed_3/20260808_122707,0
cifar100,clpu,high,4,runs/cifar100/T10_F3/clpu/seed_4/20260808_174839,0
cifar100,clpu,very_high,0,runs/cifar100/T10_F3/clpu/seed_0/20260712_074210,0
cifar100,clpu,very_high,1,runs/cifar100/T10_F3/clpu/seed_1/20260712_125829,0
cifar100,clpu,very_high,2,runs/cifar100/T10_F3/clpu/seed_2/20260808_081006,0
cifar100,clpu,very_high,3,runs/cifar100/T10_F3/clpu/seed_3/20260808_133117,0
cifar100,clpu,very_high,4,runs/cifar100/T10_F3/clpu/seed_4/20260808_185252,0
cifar100,lora,very_low,0,runs/cifar100/T10_F3/lora/seed_0/20260712_032759,0.12999999523162842
cifar100,lora,very_low,1,runs/cifar100/T10_F3/lora/seed_1/20260712_084401,0.039999991655349731
cifar100,lora,very_low,2,runs/cifar100/T10_F3/lora/seed_2/20260808_035210,0.067999988794326782
cifar100,lora,very_low,3,runs/cifar100/T10_F3/lora/seed_3/20260808_091255,0.087999999523162842
cifar100,lora,very_low,4,runs/cifar100/T10_F3/lora/seed_4/20260808_143345,0.10799998044967651
cifar100,lora,low,0,runs/cifar100/T10_F3/lora/seed_0/20260712_043115,0.06400001049041748
cifar100,lora,low,1,runs/cifar100/T10_F3/lora/seed_1/20260712_094700,0.085999995470046997
cifar100,lora,low,2,runs/cifar100/T10_F3/lora/seed_2/20260808_045618,0.067999988794326782
cifar100,lora,low,3,runs/cifar100/T10_F3/lora/seed_3/20260808_101708,0.087999999523162842
cifar100,lora,low,4,runs/cifar100/T10_F3/lora/seed_4/20260808_153809,0.10799998044967651
cifar100,lora,medium,0,runs/cifar100/T10_F3/lora/seed_0/20260712_053423,0.06400001049041748
cifar100,lora,medium,1,runs/cifar100/T10_F3/lora/seed_1/20260712_105002,0.085999995470046997
cifar100,lora,medium,2,runs/cifar100/T10_F3/lora/seed_2/20260808_060028,0.047999992966651917
cifar100,lora,medium,3,runs/cifar100/T10_F3/lora/seed_3/20260808_112114,0.087999999523162842
cifar100,lora,medium,4,runs/cifar100/T10_F3/lora/seed_4/20260808_164228,0.10799998044967651
cifar100,lora,high,0,runs/cifar100/T10_F3/lora/seed_0/20260712_063737,0.060000002384185791
cifar100,lora,high,1,runs/cifar100/T10_F3/lora/seed_1/20260712_115332,0.085999995470046997
cifar100,lora,high,2,runs/cifar100/T10_F3/lora/seed_2/20260808_070426,0.047999992966651917
cifar100,lora,high,3,runs/cifar100/T10_F3/lora/seed_3/20260808_122535,0.087999999523162842
cifar100,lora,high,4,runs/cifar100/T10_F3/lora/seed_4/20260808_174707,0.10799998044967651
cifar100,lora,very_high,0,runs/cifar100/T10_F3/lora/seed_0/20260712_074039,0.060000002384185791
cifar100,lora,very_high,1,runs/cifar100/T10_F3/lora/seed_1/20260712_125658,0.085999995470046997
cifar100,lora,very_high,2,runs/cifar100/T10_F3/lora/seed_2/20260808_080832,0.042000025510787964
cifar100,lora,very_high,3,runs/cifar100/T10_F3/lora/seed_3/20260808_132948,0.063999995589256287
cifar100,lora,very_high,4,runs/cifar100/T10_F3/lora/seed_4/20260808_185118,0.011999994516372681
cifar100,pall_adapter,very_low,0,runs/cifar100/T10_F3/pall_adapter/seed_0/20260712_032623,0.077999994158744812
cifar100,pall_adapter,very_low,1,runs/cifar100/T10_F3/pall_adapter/seed_1/20260712_084225,0.080000013113021851
cifar100,pall_adapter,very_low,2,runs/cifar100/T10_F3/pall_adapter/seed_2/20260808_035033,0.04800000786781311
cifar100,pall_adapter,very_low,3,runs/cifar100/T10_F3/pall_adapter/seed_3/20260808_091113,0.039999991655349731
cifar100,pall_adapter,very_low,4,runs/cifar100/T10_F3/pall_adapter/seed_4/20260808_143204,0.06400001049041748
cifar100,pall_adapter,low,0,runs/cifar100/T10_F3/pall_adapter/seed_0/20260712_042938,0.059999987483024597
cifar100,pall_adapter,low,1,runs/cifar100/T10_F3/pall_adapter/seed_1/20260712_094525,0.080000013113021851
cifar100,pall_adapter,low,2,runs/cifar100/T10_F3/pall_adapter/seed_2/20260808_045438,0.043999999761581421
cifar100,pall_adapter,low,3,runs/cifar100/T10_F3/pall_adapter/seed_3/20260808_101528,0.065999984741210938
cifar100,pall_adapter,low,4,runs/cifar100/T10_F3/pall_adapter/seed_4/20260808_153629,0.043999999761581421
cifar100,pall_adapter,medium,0,runs/cifar100/T10_F3/pall_adapter/seed_0/20260712_053248,0.027999997138977051
cifar100,pall_adapter,medium,1,runs/cifar100/T10_F3/pall_adapter/seed_1/20260712_104828,0.097999989986419678
cifar100,pall_adapter,medium,2,runs/cifar100/T10_F3/pall_adapter/seed_2/20260808_055850,0.057999998331069946
cifar100,pall_adapter,medium,3,runs/cifar100/T10_F3/pall_adapter/seed_3/20260808_111936,0.065999984741210938
cifar100,pall_adapter,medium,4,runs/cifar100/T10_F3/pall_adapter/seed_4/20260808_164047,0.041999995708465576
cifar100,pall_adapter,high,0,runs/cifar100/T10_F3/pall_adapter/seed_0/20260712_063602,0.024000018835067749
cifar100,pall_adapter,high,1,runs/cifar100/T10_F3/pall_adapter/seed_1/20260712_115158,0.10400000214576721
cifar100,pall_adapter,high,2,runs/cifar100/T10_F3/pall_adapter/seed_2/20260808_070246,0.049999982118606567
